City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Danli,HN,14.0333,-86.5833,73.4,64,75,11.5,broken clouds
192,Kodiak,US,57.79,-152.4072,35.6,93,90,8.05,light snow
193,Kattivakkam,IN,13.2167,80.3167,78.8,89,40,5.75,mist
194,Sarakhs,IR,36.5449,61.1577,38.91,70,0,7.43,clear sky
195,Birao,CF,10.2849,22.7882,72.18,21,0,5.97,clear sky
196,Mitu,CO,1.1983,-70.1733,79.79,91,95,3.53,moderate rain
197,Suici,RO,45.25,24.5333,30.2,100,90,2.3,light snow
198,Shakiso,ET,5.75,38.9167,60.24,56,19,3.36,few clouds
199,Embonas,GR,36.2269,27.8564,66.2,77,75,13.8,broken clouds
200,Dingle,PH,10.9995,122.6711,71.76,86,100,9.42,overcast clouds
201,Naryan-Mar,RU,67.6713,53.087,-8.28,79,16,8.16,few clouds
202,Roald,NO,62.5833,6.1333,33.8,93,90,20.71,snow
203,Mulanur,IN,10.7667,77.7167,71.6,97,100,4.18,moderate rain
204,Sinnamary,GF,5.3833,-52.95,78.6,85,62,12.84,broken clouds
205,Saldanha,ZA,-33.0117,17.9442,77.0,50,0,5.75,clear sky
206,Cabo San Lucas,MX,22.8909,-109.9124,75.0,49,40,10.36,scattered clouds
207,Talnakh,RU,69.4865,88.3972,-15.72,88,100,11.83,light snow
208,San Quintin,MX,30.4833,-115.95,67.5,26,0,6.42,clear sky
209,Nalut,LY,30.3333,10.85,50.58,45,71,9.82,broken clouds
210,Benghazi,LY,32.1167,20.0667,62.4,62,100,18.57,overcast clouds
211,Cairns,AU,-16.9167,145.7667,77.0,94,40,6.91,scattered clouds
212,Kaa-Khem,RU,51.6833,94.7333,4.89,91,100,0.87,light snow
213,Tarakan,ID,3.3,117.6333,75.2,94,75,8.05,light rain
214,Mahebourg,MU,-20.4081,57.7,77.0,94,75,17.27,light rain
215,Tromso,NO,69.6496,18.957,19.4,79,0,4.61,clear sky
216,Hambantota,LK,6.1241,81.1185,75.2,100,75,3.44,light rain
217,Buta,CD,2.7858,24.73,74.93,54,0,1.83,clear sky
218,San Ramon,US,37.7799,-121.978,57.2,76,90,1.43,haze
219,Chicama,PE,-7.8447,-79.1469,79.32,58,26,12.41,scattered clouds
220,Burriana,ES,39.889,-0.085,41.0,65,0,5.41,clear sky
221,Loa Janan,ID,-0.583,117.095,74.98,96,100,1.23,light rain
222,Plouzane,FR,48.3833,-4.6167,50.0,93,90,13.8,overcast clouds
223,Sobolevo,RU,54.4299,31.8996,20.89,97,100,11.1,overcast clouds
224,Oytal,KZ,42.9057,73.2697,30.18,92,100,3.09,light snow
225,Detmold,DE,51.8,8.0,37.99,92,0,3.0,clear sky
