City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Embonas,GR,66.2,broken clouds,36.2269,27.8564,Hotel Ataviros
200,Dingle,PH,71.76,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
202,Roald,NO,33.8,snow,62.5833,6.1333,Flem Cabins
203,Mulanur,IN,71.6,moderate rain,10.7667,77.7167,Shri Bhagavathi Amman Catering Services
204,Sinnamary,GF,78.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
205,Saldanha,ZA,77.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
206,Cabo San Lucas,MX,75.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
208,San Quintin,MX,67.5,clear sky,30.4833,-115.95,Old Mill Hotel
210,Benghazi,LY,62.4,overcast clouds,32.1167,20.0667,Tibesti Hotel
211,Cairns,AU,77.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
213,Tarakan,ID,75.2,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
214,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
216,Hambantota,LK,75.2,light rain,6.1241,81.1185,Bungalow 63
217,Buta,CD,74.93,clear sky,2.7858,24.73,HOTEL BISO NA BISO
218,San Ramon,US,57.2,haze,37.7799,-121.978,San Ramon Marriott
219,Chicama,PE,79.32,scattered clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
220,Burriana,ES,41.0,clear sky,39.889,-0.085,Hotel Beatriz
221,Loa Janan,ID,74.98,light rain,-0.583,117.095,Pondok hijau 2A
222,Plouzane,FR,50.0,overcast clouds,48.3833,-4.6167,Lymina
224,Oytal,KZ,30.18,light snow,42.9057,73.2697,Sanatorium Ak-Niet
225,Detmold,DE,37.99,clear sky,51.8,8.0,Hotel Restaurant Witte
226,Bethel,US,39.0,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
231,Puerto Asis,CO,80.6,broken clouds,0.5133,-76.5007,Ayawaska Hostal
232,Forbes,AU,70.0,clear sky,-33.3833,148.0167,Lake Forbes Motel
233,Saint Anthony,US,35.01,light rain,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
234,Houma,US,44.01,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
236,Costa Mesa,US,70.0,broken clouds,33.6411,-117.9187,Ramada by Wyndham Costa Mesa/Newport Beach
237,Beira,MZ,82.4,light rain,-19.8436,34.8389,Beira Terrace Hotel
238,Mayumba,GA,78.6,overcast clouds,-3.432,10.6554,LIKWALE LODGE
239,Lata,PT,46.99,clear sky,40.1629,-8.3327,Casa Maquia
240,Abnub,EG,64.4,clear sky,27.2696,31.1511,Romany Adly Gad
242,Cardston,CA,46.4,overcast clouds,49.2,-113.3019,Flamingo Motel
243,Waipawa,NZ,70.0,broken clouds,-41.4122,175.5153,Tora Coastal Walk
244,Olafsvik,IS,35.11,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
247,Isla Vista,US,68.0,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
248,Menongue,AO,65.66,light rain,-14.6585,17.691,Ritz Lauca
250,Esperance,AU,57.2,few clouds,-33.8667,121.9,Hospitality Esperance
251,Flinders,AU,70.0,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
252,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
254,Japura,ID,72.55,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
255,Gat,IL,68.0,overcast clouds,31.61,34.7642,OlusHome
256,Nabinagar,BD,68.0,haze,23.8917,90.9733,ওমান হাউজ
257,Sorland,NO,35.6,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
259,Asau,RO,32.0,mist,46.4333,26.4,Casa Mika Ciobanus
260,Zhaotong,CN,30.04,clear sky,27.3167,103.7167,Jingguan Home
261,Ancud,CL,61.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
263,Namatanai,PG,80.47,scattered clouds,-3.6667,152.4333,Namatanai Hotel
264,Ixtapa,MX,71.6,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
265,Praia Da Vitoria,PT,59.0,light rain,38.7333,-27.0667,Hotel Branco I
267,Libertador General San Martin,AR,81.0,overcast clouds,-23.8064,-64.7876,Posada del Sol
269,Ulverstone,AU,62.01,overcast clouds,-41.15,146.1667,Westella Colonial Bed & Breakfast
271,Margate,GB,39.99,clear sky,51.3813,1.3862,Premier Inn Margate hotel
272,Broome,US,34.0,overcast clouds,42.2506,-75.833,Chenango Valley State Park
274,Blythe,US,60.01,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
275,Clarence Town,AU,69.01,clear sky,-32.5833,151.7833,River Downs Cottage
277,Vila Velha,BR,84.2,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
278,Blackwater,AU,70.97,clear sky,-23.5833,148.8833,Blackwater Motor Inn
279,Caravelas,BR,81.28,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
280,Ishigaki,JP,59.38,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
281,Pathardi,IN,71.22,clear sky,19.1667,75.1833,श्रुतिमाऊली वेद पाठशाळा
282,Popondetta,PG,74.8,overcast clouds,-8.7537,148.2534,Timos Transit House
