City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Klaksvik,FO,2021-01-09 22:02:14,62.2266,-6.589,33.8,60,40,21.85
131,Malanje,AO,2021-01-09 22:02:14,-9.5402,16.341,59.38,95,3,3.65
132,Swan River,CA,2021-01-09 22:02:14,52.1058,-101.2676,21.2,86,1,16.11
133,Riohacha,CO,2021-01-09 22:00:06,11.5444,-72.9072,82.81,68,98,13.78
134,Nishihara,JP,2021-01-09 21:58:41,26.1842,127.7558,53.6,66,75,6.91
135,Ishigaki,JP,2021-01-09 22:02:14,24.3448,124.1572,53.6,66,75,11.5
136,Yellowknife,CA,2021-01-09 22:02:15,62.456,-114.3525,14.0,85,75,9.22
137,Kavaratti,IN,2021-01-09 22:02:15,10.5669,72.642,82.44,73,100,5.53
138,Bethel,US,2021-01-09 22:02:15,41.3712,-73.414,30.99,51,90,8.05
139,Esperance,AU,2021-01-09 21:58:33,-33.8667,121.9,77.0,38,100,19.57
140,Clyde River,CA,2021-01-09 22:02:15,70.4692,-68.5914,3.2,78,90,11.5
141,Nanakuli,US,2021-01-09 22:02:15,21.3906,-158.1547,80.01,57,1,6.91
142,Arua,UG,2021-01-09 22:02:15,3.0201,30.9111,68.4,68,45,9.37
143,Novikovo,RU,2021-01-09 22:02:15,51.1537,37.8879,27.79,96,77,10.71
144,Mount Gambier,AU,2021-01-09 22:02:15,-37.8333,140.7667,59.0,88,40,4.61
145,Gouyave,GD,2021-01-09 22:02:15,12.1646,-61.7296,82.4,74,20,21.85
146,Vostok,RU,2021-01-09 21:58:42,46.4856,135.8833,-18.36,87,100,3.53
147,Nikolsk,RU,2021-01-09 22:02:15,53.7189,46.0712,30.29,99,100,9.33
148,Mar Del Plata,AR,2021-01-09 21:59:11,-38.0023,-57.5575,71.6,73,0,20.71
149,Hilo,US,2021-01-09 22:00:16,19.7297,-155.09,80.6,57,75,8.05
150,Ashibetsu,JP,2021-01-09 22:02:15,43.5097,142.1856,10.4,52,40,13.8
151,Hukuntsi,BW,2021-01-09 22:02:15,-24.0,21.75,72.55,74,98,11.48
152,Liverpool,GB,2021-01-09 22:02:15,53.4106,-2.9779,35.01,86,0,5.75
153,Santa Cruz Del Norte,CU,2021-01-09 22:02:15,23.1539,-81.9236,71.6,56,75,12.66
154,Sainte-Maxime,FR,2021-01-09 22:02:15,43.3,6.6333,48.99,49,0,12.66
155,Nhulunbuy,AU,2021-01-09 22:02:15,-12.2333,136.7667,80.6,94,84,3.87
156,Maloy,NO,2021-01-09 22:02:15,61.9353,5.1136,37.4,56,90,18.41
157,Port Hawkesbury,CA,2021-01-09 22:02:16,45.6169,-61.3485,32.0,93,90,6.91
158,Biak,ID,2021-01-09 22:02:16,-0.9131,122.8766,76.53,82,45,2.59
159,Ambulu,ID,2021-01-09 22:02:16,-8.345,113.6058,75.76,90,99,3.06
160,Saint-Augustin,CA,2021-01-09 22:02:16,51.226,-58.6502,29.75,96,100,14.34
161,Ancud,CL,2021-01-09 21:58:45,-41.8697,-73.8203,57.99,88,90,14.97
162,Hofn,IS,2021-01-09 22:02:16,64.2539,-15.2082,20.66,81,0,11.3
163,Yulara,AU,2021-01-09 22:02:16,-25.2406,130.9889,73.4,27,0,6.91
164,Port Macquarie,AU,2021-01-09 22:02:16,-31.4333,152.9167,75.0,75,82,1.01
165,Asau,RO,2021-01-09 22:02:16,46.4333,26.4,30.2,100,100,3.44
166,Jega,NG,2021-01-09 21:59:01,12.2175,4.3792,78.03,17,19,9.82
167,Sarakhs,IR,2021-01-09 22:02:16,36.5449,61.1577,42.35,48,0,11.32
168,Berlevag,NO,2021-01-09 22:02:16,70.8578,29.0864,16.32,93,28,16.37
169,Kulhudhuffushi,MV,2021-01-09 22:02:16,6.6221,73.07,81.93,75,73,9.15
170,Bac Lieu,VN,2021-01-09 22:02:16,9.285,105.7244,74.16,80,100,13.85
171,Brae,GB,2021-01-09 22:02:16,60.3964,-1.353,39.2,60,75,23.02
172,Qaanaaq,GL,2021-01-09 22:02:16,77.484,-69.3632,-2.79,76,2,3.65
